ICM_ID,new_area_m2,old_area_m2,new-old,old_comp_to_use_for_new_rain
727,205728000,205728000,0,727
728,11954900,14239100,-2284200,728
729,202647000,202647000,0,729
730,473075000,473075000,0,730
731,4967150,4967150,0,731
732,11412200,11412200,0,732
733,63441400,63441400,0,733
734,537921000,537921000,0,734
735,3227910,3227910,0,735
736,64459500,64459500,0,736
737,101182000,101182000,0,737
738,6044130,6044130,0,738
739,4580330,4580330,0,739
740,6615680,6615680,0,740
741,4654720,4654720,0,741
742,5966600,5966600,0,742
743,9858270,9858270,0,743
744,40400200,40400200,0,744
745,19349400,19349400,0,745
746,10342500,10342500,0,746
747,6615030,6615030,0,747
748,677520,677520,0,748
749,64044800,64044800,0,749
750,21654600,21654600,0,750
751,13250600,13250600,0,751
752,648815,648815,0,752
753,16313800,16313800,0,753
754,25731400,25731400,0,754
755,1364010,1364010,0,755
756,18266800,18266800,0,756
757,9298270,9298270,0,757
758,581313,581313,0,758
759,56657200,56657200,0,759
760,16645000,16645000,0,760
761,497689,497689,0,761
762,13351100,13351100,0,762
763,4603160,4603160,0,763
764,3414710,3414710,0,764
765,21652900,21652900,0,765
766,6493370,6493370,0,766
767,10226000,10226000,0,767
768,15719700,15719700,0,768
769,14363700,14363700,0,769
770,8930020,8930020,0,770
771,2902340,2902340,0,771
772,23135800,23135800,0,772
773,3356180,3356180,0,773
774,2116370,2116370,0,774
775,20685800,20685800,0,775
776,21489000,21489000,0,776
777,21725800,21725800,0,777
778,29681500,29681500,0,778
779,23082000,23082000,0,779
780,1130650,1130650,0,780
781,13450400,13450400,0,781
782,6523290,6523290,0,782
783,5248920,5248920,0,783
784,15934200,15934200,0,784
785,62917300,62917300,0,785
786,29338200,29338200,0,786
787,30093100,30093100,0,787
788,12484900,12484900,0,788
789,5770620,5770620,0,789
790,1074070,1074070,0,790
791,9478180,9478180,0,791
792,12333500,12333500,0,792
793,25679600,25679600,0,793
794,17906200,17906200,0,794
795,12035100,12035100,0,795
796,19123100,19123100,0,796
797,1849460,1849460,0,797
798,16046300,16046300,0,798
799,14335500,14335500,0,799
800,18221200,18221200,0,800
801,26069300,26069300,0,801
802,19741300,19741300,0,802
803,39094100,39094100,0,803
804,758245,758245,0,804
805,11792800,11792800,0,805
806,12953200,12953200,0,806
807,1232310,1232310,0,807
808,1327770,1327770,0,808
809,9608740,9608740,0,809
810,15803000,15803000,0,810
811,13934000,13934000,0,811
812,1405030,1405030,0,812
813,13012900,13012900,0,813
814,17569700,17569700,0,814
815,24699600,22415400,2284200,815
816,11455200,11455200,0,816
817,13413000,13413000,0,817
818,19151600,19151600,0,818
819,13812800,13812800,0,819
820,10595800,10595800,0,820
821,9514080,9514080,0,821
822,17666700,17666700,0,822
823,5388570,5388570,0,823
824,9971500,9971500,0,824
825,6045460,6045460,0,825
826,4686530,4686530,0,826
827,4254850,4254850,0,827
828,9862960,9862960,0,828
829,3875790,3875790,0,829
830,11880800,11880800,0,830
831,899920,899920,0,831
832,9121790,9121790,0,832
833,69529100,69529100,0,833
834,13221900,13221900,0,834
835,39932900,39932900,0,835
836,20555200,20555200,0,836
837,30907400,30907400,0,837
838,15945400,15945400,0,838
839,10108700,10108700,0,839
840,53219400,53219400,0,840
841,51022100,51022100,0,841
842,7951780,7951780,0,842
843,9418520,9418520,0,843
844,70705700,70705700,0,844
845,28800800,28800800,0,845
846,39004200,39004200,0,846
847,90954800,90954800,0,847
848,18671300,18671300,0,848
849,39627400,39627400,0,849
850,40516400,40516400,0,850
851,85125600,85125600,0,851
852,20081800,20081800,0,852
853,11421300,11421300,0,853
854,25021900,25021900,0,854
855,10239900,10239900,0,855
856,16491900,16491900,0,856
857,44946100,44946100,0,857
858,3324090,3324090,0,858
859,1686750,1686750,0,859
860,1320610,2155830,-835220,860
861,783799,783799,0,861
862,21500100,21500100,0,862
863,1238610,1577680,-339070,863
864,31083400,31083400,0,864
865,6033020,6033020,0,865
866,4613940,4613940,0,866
867,6866730,6866730,0,867
868,7096750,7096750,0,868
869,5987150,5987150,0,869
870,2422960,2422960,0,870
871,5166540,5166540,0,871
872,7488340,7488340,0,872
873,7335560,7335560,0,873
874,6448500,6448500,0,874
875,8501440,8501440,0,875
876,7820060,7820060,0,876
877,11155600,11155600,0,877
878,7209570,7209570,0,878
879,3623130,3623130,0,879
880,4790680,4790680,0,880
881,5879300,3901970,1977330,881
882,5539430,5539430,0,882
883,2259640,2259640,0,883
884,1817660,1817660,0,884
885,1601990,1601990,0,885
886,2185890,2185890,0,886
887,5258130,5258130,0,887
888,4236720,4236720,0,888
889,4665670,4665670,0,889
890,2994530,2922660,71870,890
891,1452970,1453020,-50,891
892,4583550,5809430,-1225880,892
893,3216100,897293,2318807,893
894,2589810,2589810,0,894
895,3307130,3307130,0,895
896,30261400,30261400,0,896
897,6131620,6131620,0,897
898,8994030,8994030,0,898
899,5065310,5065310,0,899
900,5579800,5579800,0,900
901,6677410,6677410,0,901
902,20187800,20187800,0,902
903,22173800,22173800,0,903
904,14058500,14058500,0,904
905,5230770,5230770,0,905
906,1751860,1751860,0,906
907,3423350,3423350,0,907
908,6026730,6026730,0,908
